33 # shot/geophone points		
#x	y	
0.00	0.00	
4.50	0.00	
9.00	0.00	
13.50	0.00	
15.75	0.00	
18.00	0.00	
22.50	0.00	
27.00	0.00	
31.50	0.00	
33.75	0.00	
36.00	0.00	
40.50	0.00	
45.00	0.00	
49.50	0.00	
51.75	0.00	
54.00	0.00	
58.50	0.00	
63.00	0.00	
67.50	0.00	
69.75	0.00	
72.00	0.00	
76.50	0.00	
81.00	0.00	
85.50	0.00	
87.75	0.00	
90.00	0.00	
94.50	0.00	
99.00	0.00	
103.50	0.00	
-20.60	0.00	
113.80	0.00	
-10.30	0.00	
124.10	0.00	
215 # measurements		
#s	g	t
30	1	0.030573
30	2	0.035668
30	3	0.039632
30	4	0.043595
30	6	0.045293
30	7	0.049256
30	8	0.050955
30	9	0.053220
30	11	0.052653
30	12	0.056617
30	13	0.060580
30	14	0.063411
30	16	0.066808
30	18	0.071337
30	19	0.075300
30	21	0.075300
30	22	0.080962
30	23	0.081528
30	24	0.083226
30	26	0.085491
30	27	0.087190
30	28	0.090587
30	29	0.091719
32	1	0.020196
32	2	0.027697
32	3	0.032313
32	4	0.038660
32	6	0.043277
32	7	0.043277
32	8	0.046739
32	9	0.050778
32	11	0.054240
32	12	0.056548
32	13	0.061741
32	14	0.064626
32	16	0.065780
32	17	0.068088
32	18	0.070396
32	19	0.072128
32	21	0.074436
32	22	0.078475
32	23	0.079052
32	24	0.080206
32	26	0.081360
32	27	0.082514
32	28	0.086553
32	29	0.087130
5	1	0.027772
5	2	0.021319
5	3	0.012715
5	4	0.002497
5	6	0.004110
5	7	0.014866
5	8	0.019706
5	9	0.024008
5	11	0.028310
5	12	0.030461
5	13	0.035839
5	14	0.039603
5	16	0.043906
5	17	0.047132
5	18	0.049821
5	19	0.056274
5	21	0.058426
5	22	0.061652
5	23	0.063803
5	24	0.067568
5	26	0.068106
5	27	0.070257
5	28	0.069719
5	29	0.072408
10	1	0.043854
10	2	0.038083
10	3	0.033467
10	4	0.029428
10	6	0.023081
10	7	0.014426
10	8	0.007501
10	9	0.000577
10	11	0.001154
10	12	0.008078
10	13	0.013848
10	14	0.019619
10	16	0.024235
10	17	0.031159
10	18	0.035198
10	19	0.041545
10	21	0.044431
10	22	0.047893
10	23	0.051932
10	24	0.055971
10	26	0.058856
10	27	0.060587
10	28	0.064049
10	29	0.064626
15	1	0.057702
15	2	0.053663
15	3	0.048470
15	4	0.045008
15	6	0.039237
15	7	0.035775
15	8	0.031159
15	9	0.026543
15	11	0.023081
15	12	0.015580
15	13	0.012117
15	14	0.005193
15	16	0.003462
15	17	0.010386
15	18	0.015580
15	19	0.021350
15	21	0.026543
15	22	0.035775
15	23	0.040968
15	24	0.045008
15	26	0.049624
15	27	0.049624
15	28	0.052509
15	29	0.053086
20	1	0.070973
20	2	0.066934
20	3	0.062895
20	4	0.059433
20	6	0.055394
20	7	0.051932
20	8	0.048470
20	9	0.045585
20	11	0.041545
20	12	0.039814
20	13	0.033467
20	14	0.028851
20	16	0.021927
20	17	0.015580
20	18	0.011540
20	19	0.003462
20	21	0.000577
20	22	0.008655
20	23	0.015003
20	24	0.022504
20	26	0.029428
20	27	0.036929
20	28	0.041545
20	29	0.046739
25	1	0.079629
25	2	0.076744
25	3	0.070973
25	4	0.069819
25	6	0.068088
25	7	0.062895
25	8	0.059433
25	9	0.058279
25	11	0.053663
25	12	0.053086
25	13	0.049047
25	14	0.046739
25	16	0.043277
25	17	0.042699
25	18	0.037506
25	19	0.028851
25	21	0.024812
25	22	0.015580
25	23	0.009809
25	24	0.001731
25	26	0.002885
25	27	0.010386
25	28	0.016734
25	29	0.023658
31	1	0.084822
31	2	0.081937
31	3	0.077898
31	4	0.075590
31	6	0.072128
31	7	0.069819
31	8	0.067511
31	9	0.065780
31	11	0.061741
31	12	0.062318
31	13	0.060587
31	14	0.058856
31	16	0.058856
31	17	0.057125
31	18	0.052509
31	19	0.052509
31	21	0.050201
31	22	0.046739
31	23	0.045008
31	24	0.039237
31	26	0.036352
31	27	0.031736
31	28	0.029428
31	29	0.024235
33	1	0.083668
33	2	0.080206
33	3	0.080206
33	4	0.077321
33	6	0.074436
33	7	0.070396
33	8	0.069819
33	9	0.067511
33	11	0.066357
33	12	0.064626
33	13	0.061741
33	14	0.057125
33	16	0.055971
33	17	0.054240
33	18	0.051932
33	19	0.050201
33	21	0.049047
33	22	0.045585
33	23	0.042699
33	24	0.040391
33	26	0.038083
33	27	0.034044
33	28	0.030582
33	29	0.031736
